id,numero_factura,cliente,total,fecha_id
107,FAC-B-000057,81,97622.02,2026-05-14
108,FAC-A-000058,34,1033.10,2026-04-27
109,FAC-A-000059,54,27122.04,2026-04-14
110,FAC-B-000060,65,499.66,2026-02-27
111,FAC-B-000061,55,17596.40,2026-03-09
112,FAC-B-000062,64,9588.69,2026-03-03
113,FAC-A-000063,77,65544.50,2026-04-28
114,FAC-B-000064,62,254.59,2026-05-17
115,FAC-B-000065,81,17121.61,2026-04-28
116,FAC-C-000066,68,18547.00,2026-04-16
117,FAC-A-000067,81,1133.02,2026-03-11
118,FAC-C-000068,54,7328.49,2026-04-09
119,FAC-A-000069,70,3062.83,2026-02-24
120,FAC-B-000070,75,1179.30,2026-05-09
121,FAC-A-000071,53,20499.41,2026-05-13
122,FAC-B-000072,69,814.16,2026-04-20
123,FAC-B-000073,57,1052.17,2026-04-13
124,FAC-C-000074,42,618.84,2026-05-20
125,FAC-C-000075,81,6907.50,2026-03-28
126,FAC-C-000076,60,17532.08,2026-04-21
127,FAC-A-000077,81,6560.47,2026-04-15
128,FAC-B-000078,81,1053.33,2026-03-31
129,FAC-B-000079,60,4914.89,2026-05-14
130,FAC-B-000080,81,2328.71,2026-03-26
131,FAC-A-000081,81,142.05,2026-03-10
132,FAC-A-000082,66,3807.98,2026-05-08
133,FAC-B-000083,81,4254.15,2026-04-25
134,FAC-A-000084,75,49677.74,2026-03-10
135,FAC-B-000085,81,6520.70,2026-03-24
136,FAC-B-000086,76,2129.69,2026-04-08
137,FAC-C-000087,81,371.34,2026-05-09
138,FAC-A-000088,51,7540.87,2026-05-23
139,FAC-C-000089,81,2302.46,2026-04-20
140,FAC-A-000090,73,2281.17,2026-03-10
141,FAC-A-000091,81,12592.72,2026-04-30
142,FAC-A-000092,58,2421.55,2026-03-26
143,FAC-A-000093,70,2215.40,2026-03-14
144,FAC-B-000094,54,3784.64,2026-04-23
145,FAC-C-000095,60,2078.64,2026-03-04
146,FAC-A-000096,81,5850.18,2026-02-26
147,FAC-A-000097,73,11305.38,2026-05-05
148,FAC-C-000098,62,13429.04,2026-05-13
149,FAC-C-000099,70,10772.31,2026-04-17
150,FAC-B-000100,81,46194.51,2026-02-25
151,FAC-B-000101,69,10385.12,2026-03-01
152,FAC-C-000102,44,6699.57,2026-05-20
153,FAC-C-000103,40,1027.79,2026-04-01
154,FAC-C-000104,75,10022.73,2026-03-17
155,FAC-A-000105,47,745.26,2026-03-14
156,FAC-B-000106,81,5821.01,2026-04-06
157,FAC-A-000107,46,4041.50,2026-03-03
158,FAC-C-000108,81,18000.96,2026-03-05
159,FAC-A-000109,81,130.53,2026-04-15
160,FAC-A-000110,62,12144.75,2026-04-21
161,FAC-A-000111,76,5031.76,2026-04-26
162,FAC-C-000112,81,12107.52,2026-04-08
163,FAC-B-000113,55,7572.74,2026-04-24
164,FAC-A-000114,47,60016.81,2026-05-25
165,FAC-B-000115,45,2751.44,2026-04-29
166,FAC-B-000116,62,5199.28,2026-04-19
167,FAC-C-000117,81,3839.98,2026-04-18
168,FAC-C-000118,63,1644.68,2026-05-16
169,FAC-A-000119,32,9200.38,2026-03-13
170,FAC-A-000120,81,2722.48,2026-03-18
171,FAC-B-000121,51,814.16,2026-05-01
172,FAC-A-000122,55,1796.73,2026-05-22
173,FAC-A-000123,65,2386.03,2026-04-29
174,FAC-C-000124,81,1557.77,2026-05-12
175,FAC-C-000125,81,4243.58,2026-05-22
176,FAC-B-000126,39,2422.99,2026-03-15
177,FAC-B-000127,42,2323.62,2026-03-16
178,FAC-B-000128,81,8310.44,2026-05-09
179,FAC-A-000129,81,2582.46,2026-03-20
180,FAC-B-000130,73,380.87,2026-03-26
181,FAC-B-000131,81,3814.13,2026-03-29
182,FAC-C-000132,48,132.07,2026-05-15
183,FAC-B-000133,81,48113.84,2026-05-11
184,FAC-A-000134,34,6360.96,2026-03-06
185,FAC-A-000135,76,15910.20,2026-04-13
186,FAC-C-000136,81,9037.63,2026-03-31
187,FAC-A-000137,66,7985.55,2026-05-25
188,FAC-A-000138,81,3009.89,2026-05-04
189,FAC-A-000139,68,25111.46,2026-04-18
190,FAC-B-000140,35,2996.74,2026-04-21
191,FAC-A-000141,55,49326.92,2026-05-09
192,FAC-A-000142,52,669.08,2026-04-18
193,FAC-C-000143,41,40354.69,2026-05-17
194,FAC-B-000144,34,6714.24,2026-03-18
195,FAC-C-000145,81,13082.52,2026-04-03
196,FAC-B-000146,46,568.20,2026-02-28
197,FAC-B-000147,50,146.92,2026-03-23
198,FAC-A-000148,81,1589.68,2026-03-07
199,FAC-C-000149,81,8836.64,2026-05-22
200,FAC-C-000150,81,237.22,2026-05-08
201,FAC-C-000151,38,13573.47,2026-02-24
202,FAC-C-000152,58,25971.46,2026-04-05
203,FAC-B-000153,76,16586.29,2026-04-21
204,FAC-B-000154,66,1140.98,2026-04-14
205,FAC-A-000155,81,695.83,2026-05-18
206,FAC-B-000156,44,4465.46,2026-04-17
207,FAC-C-000157,80,493.40,2026-04-08
208,FAC-C-000158,53,46469.94,2026-05-25
209,FAC-A-000159,81,2326.84,2026-03-14
210,FAC-B-000160,81,820.28,2026-05-11
211,FAC-A-000161,71,13181.40,2026-04-27
212,FAC-A-000162,75,334.70,2026-03-18
213,FAC-B-000163,42,13960.06,2026-05-18
214,FAC-B-000164,81,7538.10,2026-04-19
215,FAC-B-000165,67,35771.69,2026-05-21
216,FAC-A-000166,59,7012.10,2026-03-20
217,FAC-A-000167,81,2254.48,2026-04-14
218,FAC-B-000168,34,17556.48,2026-03-02
219,FAC-A-000169,81,745.26,2026-05-19
220,FAC-B-000170,61,6913.25,2026-02-26
221,FAC-C-000171,32,10095.39,2026-04-26
222,FAC-A-000172,44,5549.41,2026-03-02
223,FAC-C-000173,62,1123.91,2026-04-26
224,FAC-A-000174,60,1179.41,2026-04-30
225,FAC-B-000175,58,4705.93,2026-03-14
226,FAC-A-000176,60,7715.97,2026-04-12
227,FAC-B-000177,71,19057.05,2026-03-22
228,FAC-B-000178,81,20310.47,2026-04-10
229,FAC-A-000179,80,7711.98,2026-02-28
230,FAC-B-000180,67,90.23,2026-04-25
231,FAC-A-000181,72,18027.50,2026-04-14
232,FAC-C-000182,44,11074.80,2026-02-28
233,FAC-B-000183,59,18101.51,2026-02-24
234,FAC-B-000184,63,3885.59,2026-05-16
235,FAC-A-000185,40,2506.68,2026-03-22
236,FAC-B-000186,79,144.14,2026-03-14
237,FAC-C-000187,81,7157.05,2026-03-04
238,FAC-A-000188,36,237.22,2026-03-18
239,FAC-B-000189,81,2243.74,2026-03-09
240,FAC-A-000190,39,10436.81,2026-05-13
241,FAC-A-000191,42,1716.27,2026-04-23
242,FAC-A-000192,38,2427.70,2026-05-20
243,FAC-B-000193,54,1048.42,2026-03-02
244,FAC-C-000194,57,6801.64,2026-03-12
245,FAC-B-000195,53,2656.42,2026-03-27
246,FAC-A-000196,59,25470.10,2026-03-23
247,FAC-A-000197,81,392.66,2026-04-08
248,FAC-C-000198,71,3997.04,2026-04-23
249,FAC-B-000199,31,11746.18,2026-05-08
250,FAC-A-000200,54,5365.85,2026-05-13
251,FAC-C-000201,43,485.76,2026-05-25
252,FAC-C-000202,45,2238.36,2026-03-10
253,FAC-A-000203,81,4691.77,2026-03-23
254,FAC-A-000204,81,717.71,2026-03-16
255,FAC-A-000205,65,1035.10,2026-05-04
256,FAC-A-000206,63,1137.45,2026-03-23
257,FAC-B-000207,61,6376.36,2026-05-10
258,FAC-C-000208,81,373.46,2026-05-18
259,FAC-B-000209,81,41152.57,2026-05-06
260,FAC-B-000210,77,17298.09,2026-04-24
261,FAC-A-000211,81,2168.32,2026-05-20
262,FAC-B-000212,69,8318.33,2026-04-14
263,FAC-A-000213,79,13604.64,2026-03-25
264,FAC-C-000214,79,6140.01,2026-04-22
265,FAC-C-000215,81,4668.55,2026-02-28
266,FAC-B-000216,53,7653.26,2026-02-27
267,FAC-A-000217,34,2884.12,2026-05-09
268,FAC-A-000218,48,2730.07,2026-03-04
269,FAC-C-000219,41,4430.07,2026-04-11
270,FAC-C-000220,61,549.34,2026-03-14
271,FAC-A-000221,81,1232.92,2026-04-03
272,FAC-C-000222,81,1171.17,2026-04-12
273,FAC-B-000223,67,1879.91,2026-05-19
274,FAC-A-000224,81,66174.88,2026-04-18
275,FAC-A-000225,81,4021.87,2026-03-19
276,FAC-A-000226,81,7451.10,2026-02-27
277,FAC-C-000227,81,161.84,2026-05-17
278,FAC-B-000228,74,4904.04,2026-04-13
279,FAC-B-000229,77,1133.09,2026-04-25
280,FAC-C-000230,52,504.13,2026-04-27
281,FAC-A-000231,81,1186.10,2026-03-07
282,FAC-A-000232,32,12773.37,2026-04-09
283,FAC-B-000233,66,5224.98,2026-03-20
284,FAC-A-000234,74,6000.32,2026-03-20
285,FAC-A-000235,50,2325.09,2026-03-20
286,FAC-C-000236,81,4553.64,2026-04-08
287,FAC-C-000237,45,1644.35,2026-05-09
288,FAC-C-000238,32,274.67,2026-03-01
289,FAC-C-000239,61,910.92,2026-05-20
290,FAC-A-000240,62,1315.24,2026-05-08
291,FAC-B-000241,81,5131.30,2026-04-22
292,FAC-B-000242,80,5405.07,2026-04-10
293,FAC-B-000243,52,309.80,2026-04-09
294,FAC-C-000244,49,16491.06,2026-03-20
295,FAC-C-000245,81,8201.91,2026-03-31
296,FAC-A-000246,74,4711.64,2026-03-22
297,FAC-B-000247,33,4290.85,2026-05-09
298,FAC-C-000248,35,9517.87,2026-05-22
299,FAC-A-000249,81,15817.61,2026-02-26
300,FAC-A-000250,81,9089.69,2026-03-04
301,FAC-B-000251,36,737.25,2026-05-10
302,FAC-C-000252,32,962.59,2026-03-05
303,FAC-A-000253,57,25354.86,2026-03-17
304,FAC-B-000254,67,8190.15,2026-04-06
305,FAC-B-000255,57,7419.43,2026-03-02
306,FAC-C-000256,56,22248.81,2026-02-27
307,FAC-C-000257,78,429.33,2026-05-18
308,FAC-A-000258,32,38094.91,2026-05-23
309,FAC-B-000259,65,1197.01,2026-02-25
310,FAC-B-000260,81,4404.82,2026-05-11
311,FAC-A-000261,81,3570.15,2026-03-27
312,FAC-A-000262,71,8918.33,2026-02-27
313,FAC-A-000263,81,424.52,2026-04-02
314,FAC-C-000264,51,2698.94,2026-04-11
315,FAC-C-000265,81,999.32,2026-05-22
316,FAC-A-000266,54,5080.17,2026-05-15
317,FAC-B-000267,34,3628.96,2026-05-05
318,FAC-C-000268,31,252.82,2026-05-16
319,FAC-C-000269,80,20656.61,2026-05-24
320,FAC-C-000270,81,6789.53,2026-03-11
321,FAC-C-000271,52,820.28,2026-04-15
322,FAC-C-000272,58,4593.76,2026-04-26
323,FAC-C-000273,81,2532.27,2026-03-25
324,FAC-C-000274,64,24056.92,2026-03-14
325,FAC-C-000275,59,13019.62,2026-03-27
326,FAC-B-000276,66,1047.69,2026-02-24
327,FAC-C-000277,45,29752.24,2026-05-22
328,FAC-A-000278,66,3168.68,2026-03-14
329,FAC-C-000279,37,161.84,2026-03-24
330,FAC-A-000280,81,13181.59,2026-04-27
331,FAC-B-000281,49,20310.47,2026-05-03
332,FAC-B-000282,70,377.47,2026-03-20
333,FAC-B-000283,81,3314.35,2026-05-04
334,FAC-B-000284,44,19315.48,2026-05-02
335,FAC-B-000285,53,997.97,2026-05-17
336,FAC-B-000286,61,12186.76,2026-03-30
337,FAC-B-000287,81,28235.49,2026-03-11
338,FAC-B-000288,81,1105.95,2026-04-13
339,FAC-A-000289,81,3382.45,2026-04-13
340,FAC-B-000290,44,21281.99,2026-03-02
341,FAC-C-000291,60,885.31,2026-05-01
342,FAC-B-000292,81,15356.16,2026-04-26
343,FAC-A-000293,81,137.03,2026-05-12
344,FAC-B-000294,59,1898.00,2026-05-04
345,FAC-C-000295,81,792.17,2026-05-17
346,FAC-A-000296,38,10855.50,2026-03-12
347,FAC-B-000297,81,8551.25,2026-05-24
348,FAC-A-000298,75,884.36,2026-04-23
349,FAC-B-000299,36,857.19,2026-04-12
350,FAC-A-000300,62,8233.27,2026-04-01
351,FAC-A-000301,75,10169.18,2026-05-23
352,FAC-C-000302,81,68.81,2026-03-15
353,FAC-B-000303,45,424.52,2026-03-31
354,FAC-C-000304,81,1667.60,2026-05-17
355,FAC-C-000305,81,1052.17,2026-03-14
356,FAC-B-000306,49,1316.86,2026-03-19
357,FAC-B-000307,81,24936.23,2026-05-22
358,FAC-C-000308,81,9211.54,2026-03-14
359,FAC-B-000309,57,11353.64,2026-05-22
360,FAC-C-000310,81,5716.35,2026-03-31
361,FAC-B-000311,45,1637.61,2026-05-08
362,FAC-C-000312,80,10761.54,2026-04-24
363,FAC-B-000313,78,2238.36,2026-05-24
364,FAC-B-000314,31,41532.62,2026-03-26
365,FAC-C-000315,70,2756.52,2026-03-17
366,FAC-A-000316,50,137.03,2026-03-24
367,FAC-B-000317,65,3852.72,2026-04-26
368,FAC-C-000318,31,11855.67,2026-05-07
369,FAC-A-000319,43,241.39,2026-04-26
370,FAC-C-000320,81,1909.60,2026-03-30
371,FAC-C-000321,66,946.58,2026-03-16
372,FAC-A-000322,66,1461.57,2026-03-12
373,FAC-C-000323,67,8228.88,2026-03-20
374,FAC-A-000324,81,2676.10,2026-04-29
375,FAC-B-000325,80,2908.64,2026-03-16
376,FAC-A-000326,81,5738.52,2026-05-06
377,FAC-B-000327,56,5726.21,2026-05-06
378,FAC-B-000328,81,429.10,2026-02-24
379,FAC-A-000329,68,1466.52,2026-05-20
380,FAC-B-000330,77,12715.49,2026-04-21
381,FAC-B-000331,81,12507.54,2026-03-12
382,FAC-A-000332,80,5797.88,2026-04-11
383,FAC-B-000333,48,703.09,2026-02-26
384,FAC-B-000334,81,30584.07,2026-02-24
385,FAC-B-000335,34,13050.64,2026-03-25
386,FAC-A-000336,81,132.07,2026-04-24
387,FAC-A-000337,44,43064.24,2026-02-25
388,FAC-B-000338,80,2582.46,2026-03-20
389,FAC-A-000339,44,334.70,2026-05-23
390,FAC-A-000340,65,1199.17,2026-03-26
391,FAC-A-000341,81,10728.87,2026-03-30
392,FAC-A-000342,81,803.23,2026-05-25
393,FAC-A-000343,37,10222.64,2026-04-17
394,FAC-A-000344,81,884.36,2026-05-10
395,FAC-B-000345,81,12674.48,2026-04-28
396,FAC-C-000346,34,26315.74,2026-04-08
397,FAC-B-000347,81,42198.62,2026-05-16
398,FAC-C-000348,31,1938.34,2026-05-02
399,FAC-B-000349,44,4972.35,2026-04-21
400,FAC-B-000350,81,122.87,2026-02-25
401,FAC-A-000351,39,485.76,2026-04-14
402,FAC-C-000352,55,9488.35,2026-02-27
403,FAC-A-000353,81,1557.14,2026-03-05
404,FAC-A-000354,81,4450.68,2026-03-31
405,FAC-B-000355,72,15270.95,2026-04-07
406,FAC-C-000356,81,4344.35,2026-05-14
407,FAC-B-000357,81,10088.84,2026-04-30
408,FAC-B-000358,35,819.03,2026-05-20
409,FAC-A-000359,75,10050.74,2026-03-03
410,FAC-C-000360,36,5012.52,2026-02-28
411,FAC-B-000361,49,11708.26,2026-05-23
412,FAC-A-000362,69,3149.91,2026-05-08
413,FAC-C-000363,78,3553.85,2026-05-18
414,FAC-C-000364,71,2154.13,2026-04-26
415,FAC-A-000365,81,2607.55,2026-04-27
416,FAC-C-000366,66,683.47,2026-04-08
417,FAC-B-000367,81,7059.51,2026-05-21
418,FAC-A-000368,66,3438.62,2026-03-28
419,FAC-A-000369,81,5857.87,2026-05-12
420,FAC-B-000370,63,33411.80,2026-03-20
421,FAC-A-000371,41,15473.80,2026-04-02
422,FAC-C-000372,54,110.80,2026-04-28
423,FAC-C-000373,41,4777.97,2026-05-17
424,FAC-A-000374,71,17135.00,2026-03-22
425,FAC-A-000375,56,19667.00,2026-04-04
426,FAC-A-000376,81,10899.42,2026-04-08
427,FAC-B-000377,42,129.95,2026-04-01
428,FAC-A-000378,52,129.95,2026-03-10
429,FAC-A-000379,67,16108.74,2026-05-16
430,FAC-C-000380,75,4713.25,2026-04-03
431,FAC-C-000381,81,2175.24,2026-04-10
432,FAC-B-000382,35,25851.61,2026-04-22
433,FAC-C-000383,76,837.77,2026-04-07
434,FAC-C-000384,80,280.95,2026-03-28
435,FAC-C-000385,48,745.26,2026-04-03
436,FAC-B-000386,64,11605.66,2026-05-05
437,FAC-A-000387,81,2417.37,2026-05-07
438,FAC-B-000388,64,848.61,2026-04-27
439,FAC-B-000389,81,241.39,2026-03-19
440,FAC-A-000390,39,16371.55,2026-04-17
441,FAC-C-000391,53,710.49,2026-03-05
442,FAC-A-000392,57,8025.41,2026-05-09
443,FAC-A-000393,81,5984.24,2026-04-28
444,FAC-A-000394,81,18769.76,2026-04-24
445,FAC-C-000395,64,4742.63,2026-03-21
446,FAC-A-000396,81,432.91,2026-02-24
447,FAC-C-000397,68,2696.70,2026-04-07
448,FAC-C-000398,58,894.34,2026-04-29
449,FAC-A-000399,76,1844.68,2026-05-02
450,FAC-A-000400,37,10422.04,2026-03-23
451,FAC-C-000401,66,884.36,2026-05-08
452,FAC-C-000402,61,2957.89,2026-04-24
453,FAC-A-000403,69,1461.73,2026-04-13
454,FAC-C-000404,78,3242.59,2026-04-15
455,FAC-C-000405,49,6989.30,2026-03-15
456,FAC-A-000406,57,12899.88,2026-03-15
457,FAC-A-000407,81,1691.24,2026-04-27
458,FAC-C-000408,65,261.79,2026-03-12
459,FAC-A-000409,31,311.08,2026-04-25
460,FAC-B-000410,55,652.45,2026-05-23
461,FAC-A-000411,81,17196.39,2026-04-04
462,FAC-C-000412,32,8502.65,2026-02-25
463,FAC-C-000413,70,15525.11,2026-04-04
464,FAC-A-000414,80,142.05,2026-05-22
465,FAC-B-000415,35,3558.43,2026-05-16
466,FAC-A-000416,57,5724.32,2026-03-01
467,FAC-A-000417,81,35175.21,2026-04-24
468,FAC-C-000418,41,4882.31,2026-04-25
469,FAC-C-000419,62,146.92,2026-05-23
470,FAC-A-000420,47,19906.46,2026-04-12
471,FAC-A-000421,81,972.77,2026-04-15
472,FAC-B-000422,44,9944.48,2026-04-18
473,FAC-C-000423,81,25611.27,2026-04-15
474,FAC-C-000424,67,4523.40,2026-03-05
475,FAC-B-000425,39,520.38,2026-05-21
476,FAC-C-000426,73,12462.43,2026-02-24
477,FAC-B-000427,44,21369.81,2026-04-22
478,FAC-A-000428,81,1747.66,2026-05-24
479,FAC-A-000429,69,521.84,2026-03-16
480,FAC-B-000430,53,1063.50,2026-05-14
481,FAC-C-000431,61,2912.90,2026-04-25
482,FAC-C-000432,70,1810.87,2026-05-11
483,FAC-B-000433,81,7111.75,2026-05-24
484,FAC-B-000434,81,24383.67,2026-05-14
485,FAC-B-000435,56,7303.97,2026-03-01
486,FAC-C-000436,42,7408.36,2026-04-10
487,FAC-B-000437,63,3372.34,2026-02-25
488,FAC-C-000438,80,20310.47,2026-05-18
489,FAC-B-000439,77,18492.80,2026-03-01
490,FAC-A-000440,47,4283.63,2026-04-17
491,FAC-B-000441,79,16424.72,2026-03-19
492,FAC-A-000442,36,43682.51,2026-03-19
493,FAC-C-000443,33,6932.07,2026-04-22
494,FAC-A-000444,81,6265.09,2026-04-28
495,FAC-A-000445,81,4744.60,2026-03-19
496,FAC-B-000446,49,3054.61,2026-03-02
497,FAC-A-000447,49,6446.78,2026-05-07
498,FAC-A-000448,81,28187.10,2026-05-06
499,FAC-A-000449,47,12059.38,2026-03-08
500,FAC-C-000450,48,23498.32,2026-05-16
501,FAC-B-000451,55,1788.68,2026-04-30
502,FAC-C-000452,34,436.51,2026-03-13
503,FAC-C-000453,81,885.35,2026-04-11
504,FAC-B-000454,81,671.91,2026-04-10
505,FAC-C-000455,40,16011.19,2026-03-11
506,FAC-B-000456,35,5674.04,2026-03-24
507,FAC-A-000457,81,7753.18,2026-03-19
508,FAC-B-000458,81,4566.19,2026-04-21
509,FAC-C-000459,37,4416.66,2026-03-18
510,FAC-C-000460,60,1546.31,2026-05-18
511,FAC-B-000461,61,9488.35,2026-05-16
512,FAC-C-000462,36,25694.74,2026-05-15
513,FAC-A-000463,57,6100.24,2026-04-25
514,FAC-C-000464,72,132.07,2026-02-28
515,FAC-B-000465,81,10884.47,2026-03-20
516,FAC-B-000466,33,23303.78,2026-02-28
517,FAC-A-000467,64,15168.77,2026-04-03
518,FAC-C-000468,81,439.13,2026-05-11
519,FAC-B-000469,62,3058.87,2026-04-07
520,FAC-A-000470,52,2326.84,2026-03-05
521,FAC-A-000471,42,334.70,2026-04-25
522,FAC-C-000472,56,499.66,2026-03-08
523,FAC-C-000473,81,9169.21,2026-04-17
524,FAC-A-000474,81,10064.41,2026-04-19
525,FAC-C-000475,42,5460.74,2026-04-15
526,FAC-C-000476,59,7482.51,2026-03-20
527,FAC-A-000477,36,11040.05,2026-04-15
528,FAC-B-000478,81,528.79,2026-04-27
529,FAC-A-000479,64,381.22,2026-05-21
530,FAC-B-000480,54,313.89,2026-04-13
531,FAC-C-000481,81,922.34,2026-04-28
532,FAC-A-000482,75,1279.80,2026-05-06
533,FAC-A-000483,81,5363.80,2026-04-08
534,FAC-B-000484,81,2405.34,2026-03-16
535,FAC-B-000485,69,5459.98,2026-04-04
536,FAC-C-000486,44,21913.84,2026-04-05
537,FAC-A-000487,79,456.41,2026-04-11
538,FAC-A-000488,36,643.65,2026-04-29
539,FAC-C-000489,54,952.35,2026-05-07
540,FAC-B-000490,81,1994.63,2026-04-02
541,FAC-C-000491,34,1052.17,2026-05-08
542,FAC-C-000492,59,16026.98,2026-05-13
543,FAC-A-000493,74,2751.87,2026-04-20
544,FAC-C-000494,75,26201.57,2026-03-22
545,FAC-B-000495,65,1163.71,2026-03-22
546,FAC-A-000496,81,19325.97,2026-03-19
547,FAC-B-000497,46,25903.66,2026-04-08
548,FAC-A-000498,81,262.48,2026-04-28
549,FAC-C-000499,31,4452.34,2026-03-21
550,FAC-A-000500,34,5418.91,2026-02-24
551,FAC-A-000501,38,4290.94,2026-05-16
552,FAC-B-000502,46,11459.68,2026-04-10
553,FAC-C-000503,47,8591.02,2026-03-28
554,FAC-C-000504,81,437.18,2026-05-02
555,FAC-B-000505,81,21722.03,2026-05-12
556,FAC-A-000506,68,5765.09,2026-03-16
557,FAC-C-000507,34,10173.68,2026-04-21
558,FAC-B-000508,34,3008.91,2026-03-03
559,FAC-B-000509,51,10169.18,2026-04-22
560,FAC-A-000510,72,35942.06,2026-04-07
561,FAC-C-000511,63,381.22,2026-04-18
562,FAC-B-000512,81,596.49,2026-04-29
563,FAC-B-000513,42,38060.13,2026-03-23
564,FAC-A-000514,33,215.73,2026-05-14
565,FAC-C-000515,58,13240.42,2026-03-04
566,FAC-C-000516,49,1967.04,2026-05-11
567,FAC-A-000517,49,17259.22,2026-04-26
568,FAC-C-000518,81,4916.75,2026-04-26
569,FAC-C-000519,39,7949.22,2026-05-06
570,FAC-C-000520,70,16427.22,2026-04-28
571,FAC-C-000521,81,6547.32,2026-03-02
572,FAC-A-000522,80,671.91,2026-04-21
573,FAC-B-000523,81,10593.70,2026-04-25
574,FAC-A-000524,45,5575.95,2026-04-19
575,FAC-A-000525,51,1168.09,2026-04-06
576,FAC-C-000526,43,17294.58,2026-03-28
577,FAC-A-000527,79,3936.33,2026-03-05
578,FAC-C-000528,57,1052.17,2026-04-14
579,FAC-C-000529,34,470.52,2026-03-10
580,FAC-B-000530,78,9915.21,2026-03-16
581,FAC-C-000531,81,99.92,2026-05-07
582,FAC-C-000532,81,26534.29,2026-03-07
583,FAC-B-000533,81,9887.57,2026-04-27
584,FAC-C-000534,81,27833.69,2026-05-20
585,FAC-C-000535,81,671.91,2026-03-20
586,FAC-B-000536,37,2465.26,2026-04-17
587,FAC-B-000537,81,6670.74,2026-05-02
588,FAC-B-000538,34,324.22,2026-05-09
589,FAC-C-000539,45,5583.41,2026-04-02
590,FAC-B-000540,73,6636.45,2026-05-10
591,FAC-B-000541,81,11956.12,2026-04-27
592,FAC-A-000542,79,7514.03,2026-05-05
593,FAC-C-000543,81,274.67,2026-04-20
594,FAC-B-000544,77,331.85,2026-05-25
595,FAC-B-000545,81,13235.92,2026-03-05
596,FAC-B-000546,81,3262.37,2026-05-20
597,FAC-B-000547,56,690.87,2026-04-19
598,FAC-A-000548,56,3895.52,2026-04-23
599,FAC-A-000549,81,1558.75,2026-03-20
600,FAC-C-000550,61,504.13,2026-03-04
601,FAC-B-000551,81,6000.32,2026-04-16
602,FAC-A-000552,59,20866.25,2026-04-20
603,FAC-B-000553,47,11172.00,2026-04-29
604,FAC-B-000554,41,32879.79,2026-04-07
605,FAC-C-000555,75,1036.20,2026-05-07
606,FAC-A-000556,81,1098.91,2026-03-11
607,FAC-A-000557,81,1620.68,2026-05-22
608,FAC-B-000558,41,4686.64,2026-05-10
609,FAC-B-000559,81,4043.04,2026-03-28
610,FAC-B-000560,70,5505.91,2026-05-07
611,FAC-A-000561,81,11749.16,2026-03-02
