id,sku,nombre,categoria
111,PRD-14573,Laptop Plus Modelo 757,2
112,PRD-80107,Laptop Max Modelo 657,3
113,PRD-84442,Cable Ultra Modelo 248,3
114,PRD-22137,Monitor Lite Modelo 418,2
115,PRD-30881,Cable Plus Modelo 301,2
13,PRD-70655,Memoria RAM Basic Modelo 482,2
27,PRD-67639,Memoria RAM Pro Modelo 621,1
40,PRD-78208,Cable Ultra Modelo 808,1
52,PRD-61930,Monitor Lite Modelo 624,3
59,PRD-33552,Mouse Ultra Modelo 991,1
63,PRD-45146,Laptop Advanced Modelo 851,2
76,PRD-22010,Memoria RAM Ultra Modelo 270,1
89,PRD-68530,Cargador Advanced Modelo 732,2
102,PRD-43293,Monitor Advanced Modelo 717,2
116,PRD-98929,Tarjeta Madre Basic Modelo 298,3
117,PRD-91187,Mouse Max Modelo 799,2
118,PRD-62770,Memoria RAM Advanced Modelo 806,3
119,PRD-79423,Funda Advanced Modelo 507,3
120,PRD-70725,Cable Lite Modelo 123,3
121,PRD-37048,Cargador Max Modelo 809,1
122,PRD-45599,Memoria RAM Ultra Modelo 301,2
123,PRD-38572,Tarjeta Madre Premium Modelo 384,2
124,PRD-30271,Mouse Max Modelo 843,1
125,PRD-72037,Memoria RAM Basic Modelo 955,3
126,PRD-99744,Funda Premium Modelo 807,3
127,PRD-22339,Monitor Ultra Modelo 582,3
128,PRD-12497,Laptop Pro Modelo 172,3
129,PRD-92553,Cargador Max Modelo 195,3
130,PRD-70759,Cable Pro Modelo 552,1
131,PRD-56154,Tarjeta Madre Basic Modelo 549,1
132,PRD-31642,Disco Duro Ultra Modelo 227,3
133,PRD-74600,Memoria RAM Pro Modelo 440,1
134,PRD-12975,Mouse Plus Modelo 286,2
135,PRD-39170,Cargador Pro Modelo 649,3
136,PRD-38316,Cable Lite Modelo 121,3
137,PRD-67413,Monitor Premium Modelo 218,2
138,PRD-27090,Mouse Pro Modelo 775,2
139,PRD-90960,Mouse Basic Modelo 471,3
140,PRD-74447,Cargador Lite Modelo 253,3
141,PRD-58974,Teclado Lite Modelo 203,3
142,PRD-18073,Cable Pro Modelo 566,3
143,PRD-16060,Teclado Ultra Modelo 742,3
144,PRD-92514,Cargador Lite Modelo 203,3
145,PRD-20972,Disco Duro Plus Modelo 585,1
146,PRD-57765,Cable Ultra Modelo 631,3
147,PRD-41489,Cargador Advanced Modelo 997,3
148,PRD-29368,Disco Duro Max Modelo 352,3
149,PRD-32859,Tarjeta Madre Lite Modelo 134,1
150,PRD-39849,Mouse Pro Modelo 719,2
151,PRD-64717,Laptop Lite Modelo 912,2
152,PRD-74951,Laptop Plus Modelo 334,3
153,PRD-89801,Monitor Max Modelo 360,2
154,PRD-21267,Funda Premium Modelo 333,2
155,12jskajd,Laptop Asus i7 rtx 5080,1
1,DELL-XPS-15,Laptop Dell XPS 15,1
2,LOG-MX-3,Mouse Logitech MX Master 3,2
